641	diosa griega entrego paris manzana oro inscripción bella	Historia y cultura	7
642	sí­mbolo potasio	Ciencias	9
643	gimnasia rí­tmica máximo ejercicio modalidad conjuntos	Deportes	1
644	signo carga electrón	Ciencias	9
645	temperatura punto triple agua	Ciencias	9
646	llama existir agua sólido lí­quido vapor vez	Ciencias	9
647	autor niñas	Lengua y literatura	17
648	son puentes hidrógeno	Ciencias	9
649	fórmula glucosa	Ciencias	9
650	masa átomo cloro	Ciencias	9
651	llama quí­mica computacional método iterativo sirve calcular mejor solución monodeterminantal ecuación schrödinger moléculas aisladas partir funciones base escoger	Ciencias	9
652	quí­mica computacional considerar núcleos mantienen fijos respecto movimiento electrones	Ciencias	9
655	unica faraón mujer antiguo egipto	Historia y cultura	7
656	nacionalidad escritora isabel allende	Lengua y literatura	17
658	denominaba plazas centro social comercial antigua grecia	Historia y cultura	7
659	tumba rica arqueologicamente descubierta tuthankamón	Historia y cultura	7
660	año produjo crack borsario new york	Historia y cultura	7
661	apodo conocido rey luis xiv francia	Historia y cultura	7
662	estando prohibido cambiar direccion izquierda cambio sentido	Miscelánia	14
663	2006 sido piloto fórmula 1 joven ganar mundial	Deportes	1
664	simbolo quí­mico valencia hidrógeno	Ciencias	9
665	ganó operacion triunfo 2006 2007	Series y televisión	20
666	pelí­culas musical	Cine	3
667	capital españa	Geografía	13
668	canción cantó maria segundo turno semifinal factor x	Series y televisión	20
669	educación conoce 3er nivel concreción	Miscelánia	14
670	obligatoria españa etapa educación infantil 0 6 años	Miscelánia	14
671	palabras significa lenguage informatico error	Tecnología	10
672	son verbos copulativos	Lengua y literatura	17
673	descubrió america	Historia y cultura	7
675	son hablan latin	Historia y cultura	7
676	latin	Historia y cultura	7
677	hay medio mar	Lógica e ingenio	6
678	ganó operación triunfo 2005	Series y televisión	20
681	extremidades 3 centauros	Biología	18
682	puntos hay total par dados	Lógica e ingenio	6
684	real medio sardina media costarán siete sardinas media	Lógica e ingenio	6
686	libros compuesta heptatologia	Lengua y literatura	17
687	llama quinto libro saga crónica narnia	Lengua y literatura	17
689	primeros barcos colon llegó america	Historia y cultura	7
690	subespecies chimpancés existen	Biología	18
691	nombre binomial chimpancés común	Biología	18
692	composición fotosfera contiene hidrógeno porcentaje aproximado hidrógeno fotosfera	Ciencias	9
693	parte estados unidos nació jazz	Música	2
694	año creó primera lí­nea subterránea metro nueva york	Historia y cultura	7
695	año comenzó guerra sucesión	Historia y cultura	7
696	año estrenó famosa pelí­cula padrino	Cine	3
697	oscars ganó primera pelí­culas saga padrino	Cine	3
698	marlon brando sido gran actor parte oscar recibido padrino llamaba pelí­cula obtuvo segundo oscar mejor actor	Cine	3
699	aparición conocida serie principe bel air dedicaba will smith	Series y televisión	20
700	conocemos julia roberts sabrí­an pelí­cula ganó primer único oscar	Cine	3
701	fecha nacimiento julia roberts	Cine	3
702	ciudad chilena nació pablo neruda	Lengua y literatura	17
703	nombre capital afganistán	Geografía	13
704	llama capital vietnam	Geografía	13
705	son enamorados protagonistas telenovela amores mercado	Series y televisión	20
706	llama programa enfrenta guapos (tontos) listos (feos)	Series y televisión	20
707	ganó factor x edición 2007	Series y televisión	20
709	bar cobraron 21 euros cerveza whisky whisky vale 20 euros má cerveza euros vale cerveza	Lógica e ingenio	6
711	paí­s nació maria teresa calcuta referimos nombre actual paí­s	Geografía	13
712	fecha nació j k rowling	Lengua y literatura	17
713	ludwik lejzer zamenhof	Miscelánia	14
714	oscars recibio retorno rey	Cine	3
715	siguientes s	Tecnología	10
716	nombre completo homer simpson	Series y televisión	20
717	nombre elfo tierra media tolkien	Cine	3
718	pedagogo estudio educacion infantil descubrimiento objetos naturaleza cercana niño	Miscelánia	14
719	famoso cantante cayo escenario durante conciertos	Música	2
721	fecha europeos pisaron primera vez tierras continente americano	Historia y cultura	7
722	paí­s pequeño mundo	Geografía	13
723	protagonista serie house apellido house nombre completo	Series y televisión	20
724	serie anatomia grey nombre interna aspecto oriental (o china)	Series y televisión	20
725	equipo ganado liga campeones uefa 2006/07	Deportes	1
727	tipo templo religioso sagrada familia barcelona	Historia y cultura	7
728	año estalló primera guerra mundial	Historia y cultura	7
729	artista pintó famoso cuadro creación adán	Arte	8
730	pintó famoso cuadro nacimiento venus	Arte	8
731	año publicada primera edición famoso libro guiness récords	Miscelánia	14
732	llama autor libro código da vinci	Lengua y literatura	17
733	tren mide 1 km tardará pasar túnel mide 1 km velocidad 1 km/h	Lógica e ingenio	6
734	situado pueblo castillejo martí­n viejo	Geografía	13
735	pueblos aparece paredes arco triunfo parí­s	Arte	8
738	años tení­a fernando alonso ganó primera carrera fórmula 1	Deportes	1
739	provincia pertenece pueblo manzanera	Geografía	13
743	horrocruxer	Miscelánia	14
744	llama estación londinense coje expreso hogwarths	Lengua y literatura	17
745	mascota hermione granger (de película harry potter)	Lengua y literatura	17
746	serie televisiva pertenecen siglas qaf	Series y televisión	20
747	deja justin capitulo tercera temporada qaf	Series y televisión	20
748	pareja segunda temporada qaf	Series y televisión	20
750	llama madre cocinera bar gay serie qaf	Series y televisión	20
751	llama famosos calle pittsburg grabada serie qaf	Series y televisión	20
752	serie cuatro protagonista femenina actriz películas hicisteis verano hicisteis verano	Series y televisión	20
753	primer largometraje walt disney	Cine	3
755	serie manga emitio tve padres intercanvian pareja hijos salen	Series y televisión	20
756	serie protagonista masculino actor encarna famosos hermano protagonista prision break	Series y televisión	20
757	pimer hijo melani lindsey serie qaf	Series y televisión	20
758	segundo hijo lindsey melanie serie qaf	Series y televisión	20
759	famoso psicólogo conocido principal promotor disciplina psicológica	Ciencias	9
760	condicionamiento daba famosa película naranja mecánica	Cine	3
761	hemisferio cerebro procesa mayor cantidad contenidos espaciales	Miscelánia	14
762	psicólogo creó teoría social interaccional	Ciencias	9
765	población catalana nació grupo música rock lak 'n 'busto	Música	2
766	profesión sandro botticelli	Arte	8
767	año nació michelangelo buonarroti	Arte	8
768	autor celebre cuadro creación hombre	Arte	8
769	famoso cuadro última cena	Arte	8
776	gano champions league temporada 2006 2007	Deportes	1
783	capital españa	Geografía	13
790	veces coronó campeón mundial fútbol república argentina 2010	Deportes	1
791	2010 veces coronó campeón mundial formula 1 argentino juan manuel fangio	Deportes	1
792	significado da palabra hattrick fútbol	Deportes	1
793	deporte dedicaba argentino ringo bonavena	Deportes	1
796	estrellas bandera nacional venezuela	Miscelánia	14
797	pen drive	Tecnología	10
798	png	Tecnología	10
800	nadie compraron casa nadie salió puerta ventana quedo	Lógica e ingenio	6
801	prado caminando animalito bonito	Lógica e ingenio	6
803	son cantantes rbd	Música	2
804	geografía define lengua tierra une través mar continentes península continente	Geografía	13
805	famosa frase repite bart simpsons	Series y televisión	20
806	plata oro	Lógica e ingenio	6
807	mascota ron personaje películas harry potter	Lengua y literatura	17
808	llaman hijos protagonista serie aída	Series y televisión	20
809	partir ácido araquidónico obtener enzima actúa lipooxigenasa	Ciencias	9
810	traduce gafas sol inglés	Miscelánia	14
811	separación cadenas complementarias molécula dna generalmente calentamiento denomina:	Ciencias	9
813	finalistas uefa temporada 07 08	Deportes	1
814	dna emparejamientos correctos bases son:	Ciencias	9
815	piscina argentino	Miscelánia	14
816	llama robot serie futurama	Series y televisión	20
817	llama bebé peculiar familia padre familia	Series y televisión	20
818	región dna asocia rna polimerasa empiece transcripción denomina:	Ciencias	9
819	clatrina proteí­na relacionada fenómenos de:	Ciencias	9
821	proceso digestión partes viejas célula recibe nombre de:	Ciencias	9
822	división citoplasma células recibe nombre de:	Ciencias	9
823	ovulación ovario libera:	Ciencias	9
824	antibióticos son fármacos adminstran tiene:	Ciencias	9
825	descubrió penicilina	Historia y cultura	7
826	agente etiológico causante tuberculosis es:	Ciencias	9
827	póker jugadas ganadora:	Miscelánia	14
828	llama actor encarnó personaje notario programa buenfuente	Series y televisión	20
829	llaman toallitas baño anuncia rana verde	Series y televisión	20
830	llama nueva pelí­cula matt damon continuación mito bourne	Cine	3
831	significa siglas fanoc	Miscelánia	14
832	son nombres 4 muñecas bratz originales	Infantil	19
833	apellido futbolista sevillista fallecido edad 22 años	Deportes	1
834	década nació cd rom	Tecnología	10
835	década realizaron primeras transmisiones ondas electromagnéticas (comunicación radio)	Tecnología	10
836	fecha oficial funda estados unidos america	Historia y cultura	7
839	ciudad catalana nació judit mascó	Corazón y famosos	12
840	fecha nació judit mascó	Corazón y famosos	12
841	fecha nacimiento antonio josé puerta jugador sevillista murió terreno juego	Deportes	1
842	pais corresponde capital reykjavik	Geografía	13
843	pertenece obra llamada señoritas avignon	Arte	8
844	año realizada obra señoritas avignon	Arte	8
845	guernica obra	Arte	8
846	años falleció pablo picasso	Arte	8
848	unidad fundamental mide	Ciencias	9
849	trabajaba albert einstein publicó teoria relatividad	Historia y cultura	7
850	capital brunei:	Geografía	13
851	paí­s correspone capital ulan bator	Geografía	13
852	capital francia	Geografía	13
853	ciudades aparece pilares arco triunfo paris	Arte	8
855	personaje serie qaf padece tumor testí­culos	Series y televisión	20
858	capital albania:	Geografía	13
859	capital noruega:	Geografía	13
860	jugador falleció temporada 06 07	Deportes	1
861	capital paises bajos:	Geografía	13
862	5 5 son 10 10 5 son	Lógica e ingenio	6
863	capital andalucia:	Geografía	13
864	llama mujer homer simpson	Series y televisión	20
865	autor obra lazarillo tormes	Lengua y literatura	17
866	capital navarra:	Geografía	13
867	capital italia:	Geografía	13
868	capital croacia:	Geografía	13
869	capital bosnia herzegovina:	Geografía	13
870	capital yugoslavia:	Geografía	13
871	capital macedonia:	Geografía	13
872	capital grecia:	Geografía	13
873	capital bulgaria:	Geografía	13
895	españoles ganado campeonato mundial (fism) cartomagia 2007	Miscelánia	14
898	presidencias hubo juan domingo peron argentina	Historia y cultura	7
900	concavidad espesor muro colocar estatua jarrón cosa	Arte	8
901	malquerencia nacida ánimo desengaños sufridos consecución deseos empeños vanidad	Lengua y literatura	17
902	dicho persona: engreída inoportuno vano alarde erudición téngala realidad (adjetivo)	Lengua y literatura	17
903	espantar huir perros animales voz za	Lengua y literatura	17
904	falto piedad religiosa compasión	Lengua y literatura	17
905	filosofía aristóteles objetivo actividad completa perfecciona cosa irreal	Lengua y literatura	17
906	persona perdido juicio	Lengua y literatura	17
907	procediente nativo manchester	Lengua y literatura	17
908	capital bangladesh	Geografía	13
909	capital ecuador	Geografía	13
910	capital australia	Geografía	13
911	ganador eurobasket 2007	Deportes	1
912	llama bebida fermentada base yuca maiz elaboran tribus amazónicas	Historia y cultura	7
913	nombre tribus amazónicas jí­baros reconocen dios selva	Historia y cultura	7
914	nombre tribus amazónicas reconocen selva	Historia y cultura	7
915	escribió mal	Lengua y literatura	17
916	autor shogun	Lengua y literatura	17
917	cuátos oscars ganó pelí­cula braveheart mel gibson	Cine	3
918	autor abc felicidad	Lengua y literatura	17
919	oscars ganó pelí­cula normas casa sidra	Cine	3
920	llama protagonista videojuego final fantasy vii	Videojuegos	16
921	director pelicula vida secreta palabras	Cine	3
922	capital colombia:	Geografía	13
923	encontrar cascada salto angel	Geografía	13
924	pais peretenecen islas galápagos	Geografía	13
925	pais pertenece isla pascua	Geografía	13
926	pico alto ecuador	Geografía	13
927	siguientes volcanes alto	Geografía	13
928	llama famosa serie coproducida tom hanks spielberg	Series y televisión	20
929	capital turquia:	Geografía	13
930	nombre ficticio plano matrix protagonista neo	Cine	3
931	escribió antigona	Lengua y literatura	17
932	material suelen lanzas utilizan indí­genas cazar pescar matar hombres	Historia y cultura	7
933	indigenas amazona utilizan barbasco	Historia y cultura	7
934	nombre recibe brebaje toman indigenas ver futuro enfrentarse miedos	Historia y cultura	7
935	suele llamarse cerdo animal sudamerica	Lengua y literatura	17
936	dónde encontrar cascada san rafael	Geografía	13
937	llama director pelicula tigre	Cine	3
938	actor protagonista pelí­cula big fish	Cine	3
939	actriz pelí­cula memento	Cine	3
940	edad murió mí­tico lí­der nirvana kurt cobain	Música	2
941	fecha atribuir comienzo d filosofia	Historia y cultura	7
942	etapa educación infantil obligatoria 3 6 años	Miscelánia	14
943	concursante gran hermano 9 abandono casa supuesto acoso compañera paula	Series y televisión	20
944	puntos perdió españa final eurobasket 2007	Deportes	1
945	llama burrito aparece serie dibujos animados winnie the pooh	Infantil	19
946	pelicula disney aparece pulpo gigante llamado ursula	Infantil	19
947	llama hija ariel película sirenita 2 regreso mar	Infantil	19
948	banda sonora pelí­cula disney contaron presencia phil collins interpretara canciones	Cine	3
949	cantante echo socio honorifico betis después ofrecer concierto gira sevilla	Música	2
950	siguientes obras arquitectonicas humanidad 7 nuevas maravillas mundo	Historia y cultura	7
951	tia carmen 46 años amparo 5 años luisa edad luisa mitad tia carmen años amparo	Lógica e ingenio	6
952	mamífero mayor gestación	Biología	18
953	planeta temperatura media elevada sistema solar	Ciencias	9
954	año entregó primera vez premio nobel	Historia y cultura	7
955	ciudad quemaron rusos fuese conquistada napoleón	Historia y cultura	7
956	siguientes palabras sinónima lardo	Lengua y literatura	17
957	siguientes palabras sinónima petimetre	Lengua y literatura	17
958	fecha inicio construcción oficial titanic	Historia y cultura	7
959	cientocincuenta sillas siento cincuenta monos sillas libres quedan	Lógica e ingenio	6
960	año sucedió batalla trafalgar	Historia y cultura	7
961	dada siguiente serie indicar número falta:  0 1 1 2 3 5 13 21	Lógica e ingenio	6
965	indicar siguientes números múltiplo 3	Lógica e ingenio	6
966	balonmano referimos hablamos colgada	Deportes	1
967	cuadros vendió gogh durante vida	Arte	8
968	año celebró exposición internacional barcelona	Historia y cultura	7
969	familia mecenas antoni gaudí	Historia y cultura	7
971	capital samoa	Geografía	13
972	encuentra ubicada república vanuatu	Geografía	13
973	venezuela encuentra población escuque	Geografía	13
974	está vereda  calle; está cerradura  está llave	Lengua y literatura	17
975	falta mona lisa rostro	Arte	8
976	años comprende período sesquicentenario	Historia y cultura	7
977	selva náufragos apilaron 15 cocos noche pasó mono llevó cocos 6 tarde pasó gorila llevó cocos 4 cocos quedaron	Lógica e ingenio	6
978	capital venezuela	Geografía	13
982	año nacio bill gates	Internet	11
983	nombre real bill gates	Internet	11
986	blanca leche negra café habla lengua camina pies	Lógica e ingenio	6
987	años duró guerra cien años	Historia y cultura	7
989	países forman parte unión europea	Historia y cultura	7
990	denomina típica casa romana unifamiliar única familia	Historia y cultura	7
991	clase social representa capitalismo partir siglo xviii	Historia y cultura	7
992	meses 28 dias	Lógica e ingenio	6
993	llama nieta camilla parker	Corazón y famosos	12
994	cae kilo plomo kilo oro kilo algodón	Lógica e ingenio	6
995	capital estados unidos	Geografía	13
996	año nació cantante ramón melendi	Música	2
997	comunidad autonoma encuentra localidad gallarta	Geografía	13
998	capital burundi	Geografía	13
999	capital nueva zelanda	Geografía	13
1000	continente están islas salomón	Geografía	13
1001	dónde encuentra panama	Geografía	13
1002	capital groenlandia	Geografía	13
1003	país capital kingston	Geografía	13
1004	burj arab	Miscelánia	14
1005	zar	Miscelánia	14
1006	tipo palabras son tuvo tubo	Lengua y literatura	17
1007	sinónimo palabra rol	Lengua y literatura	17
1008	dice autobuses cuba	Lengua y literatura	17
1009	comunidad autonoma encuentra municipio abanto zierbena	Geografía	13
1010	extremidades pulpo	Música	2
1011	estremidades calamar	Biología	18
1012	clase animales son cefalópodos	Biología	18
1013	fórmula tiroxido azufre	Ciencias	9
1014	serie televisiva protagonista hugh lauri	Series y televisión	20
1015	piloto f1 ganado mundial año 2007	Deportes	1
1016	escudería f1 ganado mundial constructores año 2007	Deportes	1
1017	capital bulgaria	Geografía	13
1018	chicas novio zac efron hairspray	Cine	3
1019	peliculas participa zac efron	Cine	3
1020	interpreta edna turnblad película hairspray	Cine	3
1021	velocidad punta guepardo	Biología	18
1022	año nació elton john	Música	2
1023	llegar pesar elefante africano adulto	Biología	18
1024	significan siglas ibm	Tecnología	10
1025	apodo conoce empresa multinacional ibm	Tecnología	10
1026	sido el/la escritor/a premio nobel literatura 2007	Lengua y literatura	17
1027	planeta grande sistema solar	Miscelánia	14
1028	planeta sistema solar menor periodo orbital	Lógica e ingenio	6
1029	planeta sistema solar mayor rotación	Lógica e ingenio	6
1030	siguientes planetas planeta enano sistema solar (según resolución uai 2006)	Ciencias	9
1031	años estima formación sistema solar	Ciencias	9
1032	años tarda dar vuelta sol neptuno	Ciencias	9
1033	ganó primer campeonato mundo futbol	Deportes	1
1034	año nombrado sir imperio británico músico paul mccartney	Música	2
1035	ave nacional venezuela	Miscelánia	14
1036	llama perro acompaña gato garfield	Infantil	19
1037	llama mascota copa américa 2007	Deportes	1
1038	figura cuartel superior derecho escudo españa	Miscelánia	14
1039	estrellas hay bandera estados unidos américa	Miscelánia	14
1040	cuándo inció comercializacion tecnología celular creada 1973	Ciencias	9
1041	tipo premio nobel ganó paul samuelson 1970	Historia y cultura	7
1042	llama creador premios nobel	Miscelánia	14
1043	llama inflamación simultánea amígdalas faringe	Ciencias	9
1044	nombre real rita hayworth	Cine	3
1045	compositor obra música acuática	Música	2
1046	libro señor anillos encuentra bilbo bolson anillo	Cine	3
1047	obra editada invención imprenta principios siglo xvi	Música	2
1048	escribió libro rojo negro	Lengua y literatura	17
1049	cáculo mental 10 30 son 40 70 20	Lógica e ingenio	6
1050	oro parece plata	Lógica e ingenio	6
1051	banco está ocupado padre hijo padre llama juan hijo he dicho llama	Lógica e ingenio	6
1052	mandó callar hugo chávez	Corazón y famosos	12
1053	dónde disputó certamen miss tierra 2007	Corazón y famosos	12
1054	verdadero nombre joaquin cortés	Corazón y famosos	12
1055	és 100000000 200000000	Lógica e ingenio	6
1056	cálculo mental 284 10 son 294 queanto és 100 10	Tecnología	10
1060	país originaria tortilla patatas	Miscelánia	14
1062	oceano islas maldivas	Geografía	13
1063	és 78 29	Lógica e ingenio	6
1064	palabra ajusta siguiente descripción amor adoración imagen	Lengua y literatura	17
1065	completa frase: ondas transversales propagan cuerpos	Lógica e ingenio	6
1066	txangurro pais vasco	Lengua y literatura	17
1067	llama salida sangre oido	Biología	18
1069	país capital portonovo	Geografía	13
1070	autor cuadro lirios	Arte	8
1071	color luz desvía campos magnéticos	Ciencias	9
1072	rio afluente tormes	Geografía	13
1073	archipiélago pertenece isla terceira	Geografía	13
1074	dónde monte alto sistema solar	Ciencias	9
1075	llamaba caballo cid	Lengua y literatura	17
1077	llama grupo rap consiguio nº1 ventas españa	Música	2
1079	ace mundo tennis	Deportes	1
1080	saga videojuego famoso square arrasado partes mundo increible cantidad 13 (y sumando) entregas	Videojuegos	16
1081	llama tema famoso artista hip hop chojin dedicado famosa cantante	Música	2
1082	virgen conocida moreneta	Religión	15
1083	primer elefante volo	Infantil	19
1085	bomber disco	Música	2
1086	disco salve	Música	2
1087	pelicula walt disney basada libro felix salten	Cine	3
1088	pais encuentra ciudad concordia	Geografía	13
1089	disco balas blancas	Música	2
1091	cantante paseaba moonwalker	Música	2
1092	és 34 25	Lógica e ingenio	6
1095	capital imperio otomano	Geografía	13
1096	pais pasarias vacaciones fueras bangkok	Geografía	13
1098	dónde encuentra ciudad belem	Geografía	13
1099	programación java declaras variable pública entera llamada numero	Tecnología	10
1100	provincia pertenece saucejo	Geografía	13
1101	provincia pertenece redondela	Geografía	13
1102	escribió celestina	Lengua y literatura	17
1103	dónde obtiene colorante púrpura	Miscelánia	14
1104	cerca islas encuentra fosa oceanica profunda	Geografía	13
1105	escribió novela basó película solaris andrei tarkovsky	Cine	3
1106	tres partes divide flauta travesera	Música	2
1107	primer personaje creó walt disney	Cine	3
1108	pais originario jean claude damme	Cine	3
1109	capital liechtenstein	Geografía	13
1110	país pertenecía independéncia 1993 actual eritrea	Geografía	13
1111	idioma hablado mundo	Lengua y literatura	17
1112	co2	Ciencias	9
1113	bilingüe	Lengua y literatura	17
1114	superhéroes tbo animación único humano sea nació tierra	Series y televisión	20
1115	kien hizo huebo gallina	Deportes	1
1116	inventor teléfono	Tecnología	10
1117	país ganó campeonato europa 2007 voleibol masculino	Deportes	1
1118	río divide frontera méjico estados unidos	Geografía	13
1119	nombre equipo futbol americano (nfl) juega denver	Deportes	1
1120	equipo balonpie mejicano fundado 1901	Deportes	1
1121	escribió libro mésica vampiros (lost souls)	Lengua y literatura	17
1122	méjico encuentra población cuautla	Geografía	13
1123	méjico encuentra población poza rica	Geografía	13
1124	mejicano capital ciudad campeche	Geografía	13
1125	frase celebre dicha darth vader luke skywalker saga star wars	Cine	3
1126	casa luz tienes coger calzetines cajon tienes 2 colores tienes prisa tendras coger minimo llevas 2 iguales	Deportes	1
1127	posición estás adelantas segundo carrera	Lógica e ingenio	6
1128	patas pulpo	Biología	18
1129	quedó segundo campeonato f1 2007	Deportes	1
1130	sirven hierros hay boxes f1 paran coches cambiar ruedas	Deportes	1
1131	ojos mosca	Biología	18
1132	patas pato	Biología	18
1133	patas canguro	Biología	18
1134	1 2 son 3 son 3 1	Lógica e ingenio	6
1135	colores bandera española	Miscelánia	14
1136	quiere decir español palabra alemana aghtun	Lengua y literatura	17
1137	color color negro	Deportes	1
1138	giras derecha coche rueda vueltas da	Deportes	1
1139	quiere decir game over	Miscelánia	14
1140	quiere decir vs	Miscelánia	14
1141	enanitos acompañaban blancanieves	Infantil	19
1142	número pi	Ciencias	9
1143	llama arteria sale ventrículo izquierdo	Biología	18
1144	profesionales hay cesped campo futbol partido lfp (sin contar banquillo campo)	Deportes	1
1145	water palabra	Miscelánia	14
1146	velocidad maxima circular ciclomotor autovia	Miscelánia	14
1147	coche diesel funciona gasolina	Tecnología	10
1148	color caballo azul santiago	Lógica e ingenio	6
1149	países pertenece yugoslavia	Geografía	13
1150	cuándo celebra dia internacional mujer	Miscelánia	14
1151	tecnología transmisión inalámbrica datos	Tecnología	10
1152	litros barril petróleo	Miscelánia	14
1153	cuáles son nombres hermanos serie friends	Series y televisión	20
1154	capital ciudad grande eslovaquia	Geografía	13
1155	dónde encuentra rio orange	Geografía	13
1156	capital venezuela	Geografía	13
1157	grande equipo fútbol córdoba argentina según historia cantidad copas ganadas clásicos ganados	Deportes	1
1158	rio grande venezuela	Geografía	13
1159	llama primer capítulo primer libro harry potter	Lengua y literatura	17
1160	país encuentra italia además vaticano	Geografía	13
1161	escribe amor alemán	Lengua y literatura	17
1162	adquirió superpoderes convirtió spiderman estudiante huérfano peter parker	Cine	3
1163	escritor tiras cómicas mafalda	Infantil	19
1164	nombre conoce ciudad italiana firenze	Geografía	13
1165	países limita china	Geografía	13
1166	capital vizcaya	Geografía	13
1167	aceano encuentra ubicada isla fiji	Geografía	13
1168	lados octágono	Ciencias	9
1169	costurera tela 25 metros día corta 5 metros días tardará gastar metros tela	Lógica e ingenio	6
1170	niño tarda hora caminar 1 km horas tardarán niños	Lógica e ingenio	6
1171	color logotipo mcdonald 's	Miscelánia	14
1173	color son mangas chaleco blanco napoleon	Lógica e ingenio	6
1174	capital albania	Geografía	13
1176	dónde encuentra estadio fútbol grande mundo	Deportes	1
1177	ciudad poblada mundo	Geografía	13
1179	serie friends llama hija rachel	Series y televisión	20
1180	autor primer gol mundial fútbol	Deportes	1
1182	pais realizaran olimpiadas año 2008	Historia y cultura	7
1184	ciudad encuentra situada orillas río támesis sureste isla gran bretaña	Geografía	13
1185	completa frase: tai chi chuan ____	Música	2
1186	número pi igual	Tecnología	10
1188	nombre recibe famosa doctrina militar utilizada ejército alemán iiww	Historia y cultura	7
1189	fecha comienza conflicto mundial iiww ataque alemania polonia	Historia y cultura	7
1190	nombre recibe pacto firmado japón alemania nazi posteriormente sería firmado italia españa hungría comprometen protegerse amenaza comunista	Historia y cultura	7
1191	países firmaron acuerdos munich aprobaba incorporación sudetes (que formaban parte checoslovaquia) alemania nazi	Historia y cultura	7
1192	nombre recibe noche 30 junio 1934 inició purga alemania asesinatos dirigentes sa disidentes opositores políticos régimen	Historia y cultura	7
1193	hitler nació vivió edad 24 años	Historia y cultura	7
1194	llama soldado japonés iiww rindió 1974 superior había dado órdenes proteger isla lubang ordenara contrario	Historia y cultura	7
1195	realizó 1901 primer radioenlace transatlántico través 3 360 km océano	Historia y cultura	7
1196	famoso ilusionista siglo xix considerado padre magia moderna	Miscelánia	14
1197	posición quedas carrera adelantas segundo	Lógica e ingenio	6
1198	esgrima florete parte cuerpo considera blanco válido realizar tocado estocada	Deportes	1
1200	península asiática desarrolló civilización hitita	Geografía	13
1201	apodo cinematográfico mario moreno	Cine	3
1202	esculpió discóbolo	Arte	8
1203	carga eléctrica anión	Ciencias	9
1204	equipo baloncesto verías jugar casa staples center	Deportes	1
1205	país actual ciudad jericó	Geografía	13
1206	isla reinó minos	Historia y cultura	7
1207	dió fama famoso palacio cnossos	Historia y cultura	7
1208	europeo dio primera vuelta tierra cápsula espacial	Ciencias	9
1209	nombre inglés error ejecución denominado violación segmento	Tecnología	10
1210	llamaría habitante luna	Ciencias	9
1211	autor lazarillo tormes	Lengua y literatura	17
1212	cuáles son nombres reales dj pastis & buenri	Música	2
1213	acorde guitarra toca dedo corazón 5ª cuerda anular 4ª cuerda	Música	2
1214	autora autora libro diario ninfómana	Lengua y literatura	17
1215	coste aproximado fichaje cristiano ronaldo real madrid	Deportes	1
1216	significan siglas inglés ram mundo informática	Tecnología	10
1217	número máximo caracteres permitidos tweet	Internet	11
1218	capital república democrática congo	Geografía	13
1219	dijo dadme punto apoyo moveré mundo	Geografía	13
1220	físico estadounidense considerado padres bomba atómica	Historia y cultura	7
